0.42	0.58
0.61	0.39
0.5	0.5
0.44	0.56
0.41	0.59
0.42	0.58
0.46	0.54
0.39	0.61
0.42	0.58
0.52	0.48
0.53	0.47
0.53	0.47
0.62	0.38
0.44	0.56
0.57	0.43
0.41	0.59
0.46	0.54
0.45	0.55
0.47	0.53
0.43	0.57
0.53	0.47
0.5	0.5
0.5	0.5
0.44	0.56
0.46	0.54
0.4	0.6
0.45	0.55
0.53	0.47
0.59	0.41
0.44	0.56
0.45	0.55
0.46	0.54
0.49	0.51
0.47	0.53
0.64	0.36
0.48	0.52
0.43	0.57
0.59	0.41
0.4	0.6
0.39	0.61
0.55	0.45
0.42	0.58
0.45	0.55
0.5	0.5
0.46	0.54
0.47	0.53
0.61	0.39
0.58	0.42
0.63	0.37
0.53	0.47
0.45	0.55
0.47	0.53
0.49	0.51
0.51	0.49
0.4	0.6
0.47	0.53
0.51	0.49
0.65	0.35
0.49	0.51
0.51	0.49
0.52	0.48
0.42	0.58
0.43	0.57
0.51	0.49
0.54	0.46
0.58	0.42
0.52	0.48
0.5	0.5
0.61	0.39
0.44	0.56
0.51	0.49
0.57	0.43
0.43	0.57
0.52	0.48
0.58	0.42
0.46	0.54
0.46	0.54
0.41	0.59
0.49	0.51
0.43	0.57
0.42	0.58
0.35	0.65
0.59	0.41
0.43	0.57
0.48	0.52
0.54	0.46
0.44	0.56
0.48	0.52
0.43	0.57
0.47	0.53
0.52	0.48
0.46	0.54
0.45	0.55
0.51	0.49
0.44	0.56
0.44	0.56
0.5	0.5
0.46	0.54
0.55	0.45
0.53	0.47
0.37	0.63
0.44	0.56
0.49	0.51
0.56	0.44
0.49	0.51
0.53	0.47
0.47	0.53
0.69	0.31
0.35	0.65
0.38	0.62
0.5	0.5
0.33	0.67
0.49	0.51
0.52	0.48
0.57	0.43
0.51	0.49
0.5	0.5
0.51	0.49
0.45	0.55
0.41	0.59
0.44	0.56
0.46	0.54
0.5	0.5
0.49	0.51
0.43	0.57
0.43	0.57
0.42	0.58
0.52	0.48
0.49	0.51
0.47	0.53
0.48	0.52
0.4	0.6
0.43	0.57
0.31	0.69
0.38	0.62
0.5	0.5
0.58	0.42
0.53	0.47
0.5	0.5
0.49	0.51
0.4	0.6
0.49	0.51
0.44	0.56
0.36	0.64
0.56	0.44
0.46	0.54
0.47	0.53
0.57	0.43
0.53	0.47
0.49	0.51
0.46	0.54
0.49	0.51
0.53	0.47
0.61	0.39
0.55	0.45
0.45	0.55
0.5	0.5
0.46	0.54
0.46	0.54
0.54	0.46
0.5	0.5
0.58	0.42
0.48	0.52
0.56	0.44
0.55	0.45
0.33	0.67
0.49	0.51
0.47	0.53
0.47	0.53
0.41	0.59
0.48	0.52
0.47	0.53
0.55	0.45
0.38	0.62
0.47	0.53
0.48	0.52
0.5	0.5
0.42	0.58
0.54	0.46
0.42	0.58
0.53	0.47
0.51	0.49
0.49	0.51
0.37	0.63
0.51	0.49
0.45	0.55
0.5	0.5
0.45	0.55
0.55	0.45
0.57	0.43
0.6	0.4
0.38	0.62
0.43	0.57
0.36	0.64
0.49	0.51
0.4	0.6
0.43	0.57
0.51	0.49
0.45	0.55
0.52	0.48
